,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
333,1,0,3.8,210,49,27,1946,600.0,9062
334,1,0,4.1,130,32,19,752,650.0,9062
335,1,0,4.1,30,32,14,396,100.0,9062
336,1,0,3.8,144,1,19,839,700.0,9062
337,1,0,3.4,11,4,8,2194,800.0,9062
338,1,0,3.7,133,32,27,983,700.0,9062
339,1,0,4.0,136,32,78,2512,350.0,3012
340,1,0,3.1,4,4,78,2553,200.0,9062
341,1,0,3.5,11,4,90,1755,200.0,9062
342,1,0,3.8,74,4,78,2553,300.0,9062
343,1,0,3.7,30,4,78,2577,300.0,9062
344,1,0,3.0,7,4,78,2475,200.0,9062
345,1,0,3.8,75,1,26,793,200.0,190
346,1,0,3.7,54,4,19,608,600.0,9062
347,1,0,3.6,23,4,59,352,100.0,9062
348,1,0,3.2,119,1,27,1892,400.0,9062
349,1,0,3.7,73,1,78,445,400.0,9062
350,1,0,3.4,58,4,19,706,400.0,9062
351,1,0,3.6,129,1,27,1710,600.0,9062
352,1,0,3.6,24,1,78,435,250.0,9062
353,1,0,3.0,175,49,78,905,400.0,9062
354,1,0,3.7,21,57,78,2455,300.0,9062
355,1,0,3.5,41,80,58,2324,400.0,9062
356,1,0,3.6,35,32,78,2433,300.0,9062
357,1,0,4.1,176,4,27,97,800.0,9062
358,1,0,3.5,45,1,14,369,300.0,9062
359,1,0,3.7,47,32,82,1315,400.0,9062
360,1,1,3.7,36,32,27,937,650.0,9062
361,1,0,3.8,52,49,17,356,400.0,7158
362,1,0,2.7,123,1,78,1254,200.0,9062
363,1,0,3.6,59,49,27,1818,700.0,9062
364,1,0,3.2,4,49,78,2466,300.0,9062
365,1,0,3.8,101,1,78,445,400.0,9062
366,1,0,3.7,54,1,16,1203,400.0,9062
367,1,0,0.0,0,1,78,2455,200.0,9062
368,1,0,3.6,22,4,78,1254,200.0,9062
369,1,0,3.1,31,1,91,2364,250.0,9062
370,1,0,3.0,29,49,19,709,500.0,9062
371,1,0,3.4,6,32,14,343,100.0,9062
372,1,0,3.0,22,4,78,2553,250.0,8123
373,1,0,2.9,11,1,78,1818,500.0,9062
374,1,0,3.9,101,4,78,2455,150.0,9062
375,1,1,4.1,442,32,76,1091,1200.0,9062
376,1,0,3.5,155,4,78,445,400.0,9062
377,1,0,3.4,12,1,17,363,150.0,9062
378,1,0,3.6,15,4,78,2455,100.0,9062
379,1,0,3.5,10,4,78,2455,200.0,9062
380,1,0,3.8,25,1,78,2455,300.0,9062
381,1,0,3.8,61,1,78,1892,300.0,9062
382,1,0,3.7,23,84,78,975,300.0,9062
383,1,0,3.8,25,4,78,2400,350.0,9062
384,1,0,3.7,40,49,78,2561,200.0,4179
385,1,0,3.3,4,4,78,2351,100.0,9062
386,1,0,3.4,8,4,78,1380,150.0,9062
387,1,0,3.5,32,49,78,1892,300.0,9062
388,1,0,3.3,10,4,78,2455,200.0,217
389,1,0,3.4,6,4,78,1363,300.0,9062
390,1,0,3.8,53,32,78,1493,250.0,9062
391,1,0,3.7,67,49,27,1818,700.0,9062
392,1,0,2.9,23,32,88,1743,250.0,3511
393,1,0,3.4,19,1,78,2547,200.0,9062
394,1,0,3.6,24,1,78,1215,300.0,9062
395,1,0,4.0,232,32,78,2484,400.0,9062
396,1,0,3.9,221,32,27,814,700.0,9062
397,1,1,4.1,1063,32,28,1541,1200.0,9062
398,1,0,3.7,93,4,78,2620,200.0,9062
399,1,0,3.9,233,32,27,1565,800.0,9062
400,1,0,3.9,211,32,27,1308,500.0,9062
401,1,0,4.0,1778,32,78,2256,200.0,60
402,1,0,3.6,218,87,27,2009,800.0,9062
403,1,0,3.7,514,4,19,736,600.0,9062
404,1,1,4.0,866,32,27,2034,900.0,9062
405,1,0,3.2,96,49,78,1818,400.0,9062
406,1,0,3.5,80,1,78,2699,250.0,9062
407,1,0,4.0,73,4,0,294,300.0,5430
